stormdate,Unnamed: 0,event_id,efscale,windspeed,injuries,deaths,lat,lon,office,dt_valid,inScanTime,valid_sites,radar_path
2023-04-20 00:30:00,129619,Cole-Goldsby,0.0,60,0.0,0.0,35.1873,-97.529,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129621,Cole-Goldsby,0.0,60,0.0,0.0,35.1757,-97.5261,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129622,Cole-Goldsby,0.0,60,0.0,0.0,35.1739,-97.5247,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129623,Cole-Goldsby,0.0,60,0.0,0.0,35.1723,-97.5239,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129625,Cole-Goldsby,0.0,65,0.0,0.0,35.1703,-97.5226,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129626,Cole-Goldsby,0.0,65,0.0,0.0,35.1713,-97.5247,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129627,Cole-Goldsby,0.0,60,0.0,0.0,35.1713,-97.5244,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129628,Cole-Goldsby,0.0,65,0.0,0.0,35.1713,-97.5246,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129629,Cole-Goldsby,0.0,65,0.0,0.0,35.1713,-97.5244,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 01:32:00,129635,SW of Etowah,1.0,88,0.0,0.0,35.1219,-97.2653,OUN,2023-04-20 01:32:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_012903_V06']
2023-04-20 00:30:00,129636,Cole-Goldsby,0.0,70,0.0,0.0,35.1605,-97.5197,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 01:32:00,129638,SW of Etowah,1.0,88,0.0,0.0,35.1191,-97.2653,OUN,2023-04-20 01:32:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_012903_V06']
2023-04-20 01:32:00,129639,SW of Etowah,0.0,74,0.0,0.0,35.1219,-97.2652,OUN,2023-04-20 01:32:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_012903_V06']
2023-04-20 01:32:00,129640,SW of Etowah,1.0,88,0.0,0.0,35.1192,-97.2674,OUN,2023-04-20 01:32:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_012903_V06']
2023-04-20 01:32:00,129643,SW of Etowah,0.0,85,0.0,0.0,35.1168,-97.2751,OUN,2023-04-20 01:32:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_012903_V06']
2023-04-20 01:32:00,129644,SW of Etowah,1.0,88,0.0,0.0,35.1191,-97.2674,OUN,2023-04-20 01:32:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_012903_V06']
2023-04-20 01:36:00,129645,Etowah,0.0,74,0.0,0.0,35.1275,-97.2597,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129646,Etowah,1.0,90,0.0,0.0,35.1265,-97.2597,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129647,Etowah,0.0,74,0.0,0.0,35.1265,-97.2597,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129648,Etowah,0.0,60,0.0,0.0,35.1309,-97.2597,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129649,Etowah,1.0,88,0.0,0.0,35.1255,-97.2598,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129650,Etowah,1.0,93,0.0,0.0,35.1255,-97.2597,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 00:30:00,129651,Cole-Goldsby,0.0,70,0.0,0.0,35.1605,-97.5229,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 01:36:00,129652,Etowah,0.0,65,0.0,0.0,35.1255,-97.2597,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129653,Etowah,0.0,61,0.0,0.0,35.1252,-97.2574,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129654,Etowah,1.0,93,0.0,0.0,35.1264,-97.2574,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129656,Etowah,0.0,61,0.0,0.0,35.1257,-97.2574,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129657,Etowah,0.0,74,0.0,0.0,35.1372,-97.2475,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129658,Etowah,1.0,88,0.0,0.0,35.1287,-97.2574,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129659,Etowah,0.0,74,0.0,0.0,35.1312,-97.2367,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 00:30:00,129660,Cole-Goldsby,0.0,80,0.0,0.0,35.1605,-97.521,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 01:36:00,129661,Etowah,2.0,127,0.0,0.0,35.1317,-97.2354,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
