,site,file,dt_start,dt_end,s3_file,window_start,window_end,window_site
0,KTLX,bulk\KTLX20230402_212716_V06,2023-04-02 21:27:16,2023-04-02 21:31:49,s3://unidata-nexrad-level2/2023/04/02/KTLX/KTLX20230402_212716_V06,2023-04-02 21:28:00,2023-04-02 21:58:00,KTLX
1,KTLX,bulk\KTLX20230402_213149_V06,2023-04-02 21:31:49,2023-04-02 21:36:13,s3://unidata-nexrad-level2/2023/04/02/KTLX/KTLX20230402_213149_V06,2023-04-02 21:28:00,2023-04-02 21:58:00,KTLX
2,KTLX,bulk\KTLX20230402_213613_V06,2023-04-02 21:36:13,2023-04-02 21:40:41,s3://unidata-nexrad-level2/2023/04/02/KTLX/KTLX20230402_213613_V06,2023-04-02 21:28:00,2023-04-02 21:58:00,KTLX
3,KTLX,bulk\KTLX20230402_214041_V06,2023-04-02 21:40:41,2023-04-02 21:45:11,s3://unidata-nexrad-level2/2023/04/02/KTLX/KTLX20230402_214041_V06,2023-04-02 21:28:00,2023-04-02 21:58:00,KTLX
4,KTLX,bulk\KTLX20230402_214511_V06,2023-04-02 21:45:11,2023-04-02 21:49:39,s3://unidata-nexrad-level2/2023/04/02/KTLX/KTLX20230402_214511_V06,2023-04-02 21:28:00,2023-04-02 21:58:00,KTLX
5,KTLX,bulk\KTLX20230402_214939_V06,2023-04-02 21:49:39,2023-04-02 21:54:35,s3://unidata-nexrad-level2/2023/04/02/KTLX/KTLX20230402_214939_V06,2023-04-02 21:28:00,2023-04-02 21:58:00,KTLX
6,KTLX,bulk\KTLX20230402_215435_V06,2023-04-02 21:54:35,2023-04-02 21:59:35,s3://unidata-nexrad-level2/2023/04/02/KTLX/KTLX20230402_215435_V06,2023-04-02 21:28:00,2023-04-02 21:58:00,KTLX
7,KTLX,bulk\KTLX20230410_221253_V06,2023-04-10 22:12:53,2023-04-10 22:16:55,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_221253_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
8,KTLX,bulk\KTLX20230410_221655_V06,2023-04-10 22:16:55,2023-04-10 22:20:38,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_221655_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
9,KTLX,bulk\KTLX20230410_222038_V06,2023-04-10 22:20:38,2023-04-10 22:24:35,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_222038_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
10,KTLX,bulk\KTLX20230410_222435_V06,2023-04-10 22:24:35,2023-04-10 22:28:37,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_222435_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
11,KTLX,bulk\KTLX20230410_222837_V06,2023-04-10 22:28:37,2023-04-10 22:32:34,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_222837_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
12,KTLX,bulk\KTLX20230410_223234_V06,2023-04-10 22:32:34,2023-04-10 22:36:30,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_223234_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
13,KTLX,bulk\KTLX20230410_223630_V06,2023-04-10 22:36:30,2023-04-10 22:40:51,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_223630_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
14,KTLX,bulk\KTLX20230410_224051_V06,2023-04-10 22:40:51,2023-04-10 22:45:06,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_224051_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
15,KTLX,bulk\KTLX20230410_224506_V06,2023-04-10 22:45:06,2023-04-10 22:49:21,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_224506_V06,2023-04-10 22:15:00,2023-04-10 22:49:00,KTLX
16,KTLX,bulk\KTLX20230410_224921_V06,2023-04-10 22:49:21,2023-04-10 22:53:31,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_224921_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
17,KTLX,bulk\KTLX20230410_225331_V06,2023-04-10 22:53:31,2023-04-10 22:57:47,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_225331_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
18,KTLX,bulk\KTLX20230410_225747_V06,2023-04-10 22:57:47,2023-04-10 23:02:07,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_225747_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
19,KTLX,bulk\KTLX20230410_230207_V06,2023-04-10 23:02:07,2023-04-10 23:06:33,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_230207_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
20,KTLX,bulk\KTLX20230410_230633_V06,2023-04-10 23:06:33,2023-04-10 23:11:00,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_230633_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
21,KTLX,bulk\KTLX20230410_231100_V06,2023-04-10 23:11:00,2023-04-10 23:15:26,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_231100_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
22,KTLX,bulk\KTLX20230410_231526_V06,2023-04-10 23:15:26,2023-04-10 23:19:41,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_231526_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
23,KTLX,bulk\KTLX20230410_231941_V06,2023-04-10 23:19:41,2023-04-10 23:24:01,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_231941_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
24,KTLX,bulk\KTLX20230410_232401_V06,2023-04-10 23:24:01,2023-04-10 23:28:29,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_232401_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
25,KTLX,bulk\KTLX20230410_232829_V06,2023-04-10 23:28:29,2023-04-10 23:33:10,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_232829_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
26,KTLX,bulk\KTLX20230410_233310_V06,2023-04-10 23:33:10,2023-04-10 23:37:39,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_233310_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
27,KTLX,bulk\KTLX20230410_233739_V06,2023-04-10 23:37:39,2023-04-10 23:42:13,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_233739_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
28,KTLX,bulk\KTLX20230410_234213_V06,2023-04-10 23:42:13,2023-04-10 23:46:53,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_234213_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
29,KTLX,bulk\KTLX20230410_234653_V06,2023-04-10 23:46:53,2023-04-10 23:51:27,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_234653_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
30,KTLX,bulk\KTLX20230410_235127_V06,2023-04-10 23:51:27,2023-04-10 23:56:08,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_235127_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
31,KTLX,bulk\KTLX20230410_235608_V06,2023-04-10 23:56:08,2023-04-11 00:00:50,s3://unidata-nexrad-level2/2023/04/10/KTLX/KTLX20230410_235608_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
32,KTLX,bulk\KTLX20230411_000050_V06,2023-04-11 00:00:50,2023-04-11 00:05:31,s3://unidata-nexrad-level2/2023/04/11/KTLX/KTLX20230411_000050_V06,2023-04-10 22:50:00,2023-04-11 00:11:00,KTLX
